sci_name,cult_name,N,common_name,lifeform_bylizzie,notes,consider_foranalysis,used_inanalysis
Acer,Acer platanoides,101550,Norway maple,tree,,yes,not enough
Acer,Acer pseudoplatanus,13149,sycamore maple,tree,,yes,yes
Aesculus hippocastanum,no specification,681064,horse chestnut,tree,,yes,yes
Alnus,Alnus glutinosa,176253,common alder,tree,,yes,yes
Alnus,Alnus incana,722,speckled alder,tree/shrub,,yes,not enough
Betula,Betula pendula (B. verrucosa| B. alba),342363,silver birch,tree,,yes,yes
Betula,Betula pubescens,5283,downy birch,tree,,yes,yes
Cornus,Cornus mas,10331,cornelian cherry,tree/shrub,,yes,not enough
Fagus,Fagus sylvatica,372909,European beech,tree,,yes,yes
Fraxinus excelsior,no specification,171889,European ash,tree,,yes,yes
Larix decidua,no specification,157990,European larch,tree,,yes,yes
Laurus nobilis,no specification,254,Bay laurel,tree/shrub,,yes,not enough
Prunus padus,no specification,37674,bird cherry,tree/shrub,,yes,not enough
Quercus robur (Q.peduncula),no specification,401554,English oak,tree,,yes,yes
Robinia pseudoacacia,no specification,153100,black locust,tree,,yes,yes
Sorbus aucuparia,no specification,333591,rowan,tree,,yes,yes
Pinus,Pinus sylvestris,174641,Scots pine,tree,,yes,not enough
Populus,Populus tremula,2647,quaking aspen,tree,,yes,yes
Tilia,Tilia cordata,128161,littleleaf linden,tree,,yes,yes
Tilia,Tilia platyphyllos,212503,largeleaf linden,tree,,yes,yes